id_cliente,id_empresa,nome,email,cargo
153,1,Srta. Laís da Luz,julia48@uol.com.br,CEO
239,3,Sra. Maria da Costa,ramosana-beatriz@uol.com.br,Coordenador de Operações
219,3,Stella Monteiro,pereiraantonio@yahoo.com.br,Diretor de Compliance
146,3,Murilo Silva,helena41@mendes.com,Coordenador de Operações
176,4,Evelyn Monteiro,felipe68@barbosa.br,Gerente de TI
156,4,Mariane da Mota,moreiralevi@gmail.com,Gerente de TI
148,4,Srta. Maria Cecília Barbosa,goncalvesgabriel@bol.com.br,CTO
137,4,Luiz Miguel Vieira,sophiearaujo@nascimento.net,CTO
5,4,Emanuel Vieira,viananatalia@castro.com,CTO
211,5,João Gabriel da Cruz,pfreitas@bol.com.br,Gerente de TI
145,5,Felipe Correia,maysa05@da.org,Gerente de TI
236,6,Alícia Cardoso,anavieira@cunha.com,Analista Financeiro
139,7,Maria Eduarda Costela,acampos@hotmail.com,Gerente de TI
12,7,Davi Lucca Gomes,wjesus@gmail.com,CTO
291,8,Gabriela Rodrigues,nunesmaria-sophia@bol.com.br,Coordenador de Operações
191,8,Lorenzo Rezende,lucas-gabrieldias@bol.com.br,Diretor de Compliance
129,8,Dr. Enrico Ferreira,anthony44@hotmail.com,Especialista Regulatória
173,9,Pedro Henrique da Rosa,mporto@costa.com,Especialista Regulatória
22,9,Anthony Nogueira,kaiquenovaes@ramos.org,Diretor de Compliance
289,10,Yago Pires,efernandes@barros.net,Gerente de TI
214,10,Isis Caldeira,sabrinamoura@bol.com.br,Diretor de Compliance
268,11,Augusto Cardoso,saraujo@da.br,Coordenador de Operações
147,11,Dra. Maria da Mata,yasmincaldeira@lopes.br,Analista Financeiro
10,12,Maria Luiza Costa,ana-carolinapereira@rocha.br,Diretor de Compliance
269,13,Srta. Mariana da Paz,marcos-viniciusgoncalves@barbosa.br,Coordenador de Operações
17,13,Daniel Fogaça,ian04@gmail.com,CTO
155,14,Nicolas Alves,juliana03@bol.com.br,Analista Financeiro
246,15,Maria Julia Castro,ryanalmeida@uol.com.br,Gerente de TI
49,15,Dr. Eduardo Moraes,ida-paz@da.com,Gerente de TI
38,15,Maria Clara Dias,silvabrenda@barros.br,CTO
32,15,Fernanda Rodrigues,vitorcavalcanti@gmail.com,CEO
1,15,Caroline da Mota,araujomilena@hotmail.com,Analista Financeiro
177,16,Gustavo Henrique Correia,acastro@hotmail.com,Diretor de Compliance
229,17,Thomas Santos,thales56@yahoo.com.br,Analista Financeiro
107,17,Luiz Miguel da Cruz,nda-conceicao@souza.com,Analista Financeiro
298,18,Clara Almeida,nogueiraesther@yahoo.com.br,Diretor de Compliance
275,18,Srta. Sophie Ramos,raquel27@bol.com.br,Diretor de Compliance
81,18,Sra. Rebeca Ramos,vitor-hugodas-neves@gmail.com,Gerente de TI
251,19,Emanuelly Viana,thiago82@porto.com,Gerente de TI
171,19,Sr. Luigi Sales,da-rosacarolina@nascimento.net,Diretor de Compliance
122,19,Dr. Davi Luiz da Mota,nathancorreia@oliveira.br,Especialista Regulatória
264,20,Luiz Gustavo Carvalho,nicolasramos@ig.com.br,Coordenador de Operações
250,20,Raul Viana,vpinto@yahoo.com.br,CEO
183,21,Gustavo Henrique da Luz,imoraes@vieira.com,Especialista Regulatória
64,21,Pietra Ferreira,ycaldeira@costa.com,Coordenador de Operações
248,22,Bárbara Peixoto,mariana39@da.com,Coordenador de Operações
170,22,Milena Cunha,heitorramos@bol.com.br,Coordenador de Operações
127,22,Heloísa Silva,oribeiro@rezende.br,Analista Financeiro
59,22,Srta. Maria Cecília Monteiro,catarinanunes@teixeira.com,Diretor de Compliance
133,23,Esther Melo,luiz-gustavo18@bol.com.br,Especialista Regulatória
119,23,Pedro Fernandes,diasmurilo@monteiro.br,CEO
43,23,Srta. Mirella Moraes,teixeiraenrico@da.com,Analista Financeiro
9,23,Paulo Moreira,correiacaua@goncalves.br,Gerente de TI
106,24,Calebe das Neves,sophie77@hotmail.com,Gerente de TI
31,24,Anthony Fernandes,costelaenzo-gabriel@carvalho.net,CEO
276,25,Sarah Peixoto,cavalcantijoao-vitor@da.br,Diretor de Compliance
271,27,Maria Eduarda Nascimento,ramoscarolina@teixeira.br,Especialista Regulatória
237,27,Rebeca da Cunha,laura46@silveira.net,CEO
222,27,Alice Sales,rafaelrodrigues@uol.com.br,Gerente de TI
102,27,Arthur Almeida,vianabruna@moreira.com,Gerente de TI
207,28,Bruno Jesus,miguel42@cardoso.com,Diretor de Compliance
130,30,Dr. Igor Farias,araujothomas@yahoo.com.br,Coordenador de Operações
79,30,Sofia Fernandes,nicolegoncalves@carvalho.com,Analista Financeiro
120,31,Luiz Gustavo Carvalho,nogueiraeduarda@pinto.br,Especialista Regulatória
69,31,Diego Gonçalves,fsouza@yahoo.com.br,Diretor de Compliance
3,31,Marcela Aragão,rebecada-mota@da.net,Gerente de TI
78,32,Sra. Manuela Ramos,lorenzo85@ig.com.br,CEO
75,32,Noah Ramos,davi74@uol.com.br,CEO
51,32,Dr. Pedro Lucas Fernandes,henrique42@ig.com.br,Coordenador de Operações
48,32,Sra. Marcela Costa,lorenzoda-conceicao@martins.br,Coordenador de Operações
288,33,Sra. Stephany da Rocha,nnunes@ig.com.br,Analista Financeiro
249,33,Vitor Hugo Cavalcanti,novaeslevi@rocha.org,CEO
164,33,Davi das Neves,caiosilveira@gmail.com,Gerente de TI
143,33,Sophie Gonçalves,carvalhomarcela@hotmail.com,Analista Financeiro
24,33,Luna Freitas,davi-lucca97@gmail.com,CEO
185,34,João Miguel Jesus,luiz-migueljesus@barbosa.com,CTO
294,35,Emanuelly da Luz,sophiecostela@uol.com.br,Analista Financeiro
213,35,Nicole Pires,inovaes@gmail.com,Gerente de TI
201,35,Eduardo Correia,da-luzlevi@uol.com.br,Analista Financeiro
116,35,Igor Castro,ribeirocalebe@yahoo.com.br,CEO
199,36,Levi da Conceição,otaviosouza@monteiro.net,Coordenador de Operações
150,36,Sr. Levi Costela,vicentecardoso@nogueira.net,Especialista Regulatória
14,36,Dr. Thomas Cardoso,maria-juliada-mota@hotmail.com,Especialista Regulatória
243,37,Larissa Martins,moraesmaria-fernanda@gmail.com,Analista Financeiro
224,37,Lucas Gabriel Monteiro,limaluiza@fogaca.br,Analista Financeiro
91,37,Cauê Viana,zda-mota@yahoo.com.br,Gerente de TI
232,38,Ian Pereira,kalves@yahoo.com.br,Especialista Regulatória
109,38,Francisco Nascimento,esther52@yahoo.com.br,Gerente de TI
290,40,Dr. João da Cunha,giovanna23@ig.com.br,CEO
272,40,João Miguel Araújo,wsouza@bol.com.br,Diretor de Compliance
90,40,Pedro Lucas da Mota,noah67@da.com,CEO
277,41,Heloísa da Cunha,maria68@hotmail.com,Diretor de Compliance
2,41,Maria Cecília Costa,rjesus@ig.com.br,CEO
220,42,Maria Sophia Fernandes,ana-juliacastro@uol.com.br,CEO
149,42,Sofia da Costa,cavalcantidanilo@lopes.br,CEO
87,42,Ana Luiza Caldeira,emanuelmendes@ig.com.br,Diretor de Compliance
196,44,Bruno Cunha,kcostela@uol.com.br,Especialista Regulatória
180,44,João Gabriel Pinto,nascimentomaria-alice@gmail.com,CEO
158,44,Lívia Teixeira,laragao@yahoo.com.br,Analista Financeiro
282,46,Sr. João Vitor Lima,alexandre53@farias.com,Analista Financeiro
212,46,Dr. Pedro Lucas Silveira,thales38@silveira.com,CEO
151,46,João Pedro Cardoso,piresmurilo@ig.com.br,Especialista Regulatória
259,47,Isis Teixeira,laura17@nascimento.br,Diretor de Compliance
228,48,Arthur Azevedo,zpinto@hotmail.com,CTO
63,48,Dr. Vitor Hugo Almeida,miguelrezende@teixeira.br,Analista Financeiro
34,48,Evelyn Duarte,silveirapaulo@nogueira.com,Coordenador de Operações
99,49,Marina da Cunha,qnascimento@nogueira.br,Gerente de TI
45,50,Gabriela Ferreira,ana-beatrizcavalcanti@gmail.com,Analista Financeiro
256,51,Stella Barros,joao-lucas08@melo.br,Diretor de Compliance
11,51,Dra. Gabriela Caldeira,avieira@monteiro.br,Gerente de TI
284,52,Agatha Novaes,da-matasofia@ig.com.br,Analista Financeiro
189,53,Ana Carolina Campos,nfreitas@da.br,Coordenador de Operações
169,53,Bárbara Sales,ian21@sales.br,Diretor de Compliance
68,53,Letícia Costa,freitasjoao-lucas@bol.com.br,Coordenador de Operações
98,54,Enzo Gabriel Nunes,kevinrocha@souza.com,Analista Financeiro
27,54,Laís Jesus,yuri59@uol.com.br,Gerente de TI
279,56,Maria Clara Oliveira,toliveira@silveira.br,CTO
247,56,Cauã Novaes,marianabarros@nogueira.com,CEO
198,56,Davi Fogaça,dmoraes@ig.com.br,Coordenador de Operações
226,57,Maitê Moreira,almeidamaite@dias.br,CTO
216,58,Leonardo Moura,evelynalmeida@rezende.org,CTO
208,58,João Miguel Cunha,luna84@silva.com,CTO
187,58,Emanuelly Cunha,luna73@hotmail.com,Analista Financeiro
62,59,Ana Viana,thiagoazevedo@hotmail.com,Gerente de TI
61,59,Diogo Nogueira,ida-cunha@pereira.br,CTO
56,59,Rodrigo Martins,martinsdaniel@vieira.br,CEO
8,59,Larissa Gomes,qcardoso@uol.com.br,Diretor de Compliance
278,60,Sra. Sabrina da Cunha,gabrielafreitas@hotmail.com,Diretor de Compliance
209,60,Elisa da Conceição,eduarda24@da.org,Especialista Regulatória
125,60,Gabrielly Ribeiro,maria-eduarda17@almeida.com,Analista Financeiro
286,61,João Pedro da Costa,lfreitas@gmail.com,CEO
188,62,Henrique da Costa,ana-julia00@yahoo.com.br,Especialista Regulatória
52,62,Alice Fernandes,pirescaue@araujo.br,Diretor de Compliance
258,63,Mariana Porto,lorenzoaraujo@gmail.com,Especialista Regulatória
141,63,Letícia Teixeira,yagoaraujo@ig.com.br,Diretor de Compliance
115,63,Dr. Joaquim Carvalho,knogueira@fernandes.com,CEO
295,64,Vinicius Rodrigues,ulopes@uol.com.br,CTO
225,64,Dr. Lucas Gabriel Campos,duartejoao@ig.com.br,Coordenador de Operações
29,65,Luna da Mota,xrodrigues@uol.com.br,CEO
162,66,Sr. Nicolas Monteiro,knunes@gmail.com,CEO
154,66,Diego da Luz,marina48@yahoo.com.br,CEO
85,66,Igor Porto,rochaarthur@da.net,Gerente de TI
66,67,Rafaela Castro,dporto@uol.com.br,Coordenador de Operações
296,68,Sophie Lopes,da-motaanthony@gmail.com,Coordenador de Operações
175,68,Rafael Araújo,lorena20@yahoo.com.br,Especialista Regulatória
157,68,Cauê Moura,bpires@da.br,Especialista Regulatória
93,68,Vitor Hugo Sales,osales@bol.com.br,Coordenador de Operações
84,68,Davi Lucca Freitas,valmeida@bol.com.br,CEO
103,69,Alícia Cardoso,correiapietro@pereira.br,Analista Financeiro
30,69,Sra. Ana Luiza Cavalcanti,alice57@hotmail.com,Coordenador de Operações
292,70,Emanuel da Cruz,isabellyda-conceicao@yahoo.com.br,Especialista Regulatória
254,70,Sra. Isadora Ramos,cunhamelissa@gmail.com,Analista Financeiro
215,70,Antônio Nunes,maria-vitoriabarbosa@gmail.com,Coordenador de Operações
186,70,João Felipe da Mata,cardosojulia@da.net,Diretor de Compliance
135,70,João Freitas,alvesmarina@yahoo.com.br,Gerente de TI
97,70,Srta. Sofia da Cruz,caroline68@da.br,Coordenador de Operações
260,71,Ana Clara Oliveira,freitasjoao-gabriel@gmail.com,CEO
72,71,Lucca Freitas,diogocarvalho@hotmail.com,Gerente de TI
255,72,João Vitor Jesus,salesrafael@da.org,CTO
182,72,Davi Luiz Azevedo,brocha@goncalves.br,Diretor de Compliance
